net,length_um
_1542_,51.34µm
clknet_leaf_43_clk,51.32µm
_1503_,51.255µm
net837,51.04µm
net426,50.92µm
net72,50.7µm
clknet_leaf_166_clk,50.68µm
clknet_leaf_192_clk,50.66µm
clknet_leaf_179_clk,50.62µm
_1609_,50.48µm
clknet_leaf_137_clk,50.46µm
clknet_leaf_133_clk,50.44µm
_1535_,50.26µm
net292,50.04µm
_2205_,50.02µm
net183,49.8µm
clknet_leaf_48_clk,49.78µm
clknet_leaf_112_clk,49.78µm
clknet_leaf_4_clk,49.4µm
clknet_leaf_136_clk,49.36µm
clknet_leaf_82_clk,49.28µm
clknet_leaf_186_clk,49.24µm
gen_left\[6\]\[5\],49.06µm
gen_pe\[5\].pe_inst.out_right\[9\],49.04µm
net416,48.94µm
net93,48.84µm
clknet_leaf_26_clk,48.83µm
net281,48.725µm
_1533_,48.72µm
clknet_leaf_92_clk,48.72µm
_1611_,48.58µm
_0397_,48.52µm
clknet_leaf_9_clk,48.32µm
_1510_,48.2µm
clknet_leaf_168_clk,48.2µm
net177,48.14µm
gen_left\[6\]\[11\],48µm
net216,47.98µm
_0213_,47.705µm
_1452_,47.66µm
_1499_,47.62µm
_1787_,47.56µm
net245,47.56µm
_2270_,47.44µm
clknet_leaf_88_clk,47.38µm
clknet_leaf_226_clk,47.14µm
clknet_leaf_176_clk,47.1µm
clknet_leaf_13_clk,46.92µm
clknet_leaf_164_clk,46.86µm
clknet_leaf_80_clk,46.82µm
_1819_,46.8µm
clknet_leaf_72_clk,46.72µm
_1672_,46.68µm
_2055_,46.64µm
_1455_,46.62µm
clknet_leaf_21_clk,46.545µm
clknet_leaf_34_clk,46.14µm
clknet_leaf_46_clk,45.94µm
clknet_leaf_129_clk,45.8µm
_0277_,45.74µm
_2336_,45.64µm
gen_pe\[2\].pe_inst.out_right\[25\],45.52µm
net1232,45.14µm
_1500_,44.84µm
clknet_leaf_62_clk,44.82µm
clknet_leaf_33_clk,44.68µm
_1467_,44.58µm
clknet_leaf_190_clk,44.54µm
clknet_leaf_119_clk,44.52µm
clknet_leaf_93_clk,44.38µm
clknet_leaf_156_clk,44.38µm
net227,44.36µm
_2341_,44.12µm
_1453_,44.065µm
clknet_leaf_173_clk,43.92µm
net167,43.84µm
clknet_leaf_7_clk,43.84µm
_2065_,43.64µm
clknet_leaf_113_clk,43.6µm
_1796_,43.44µm
clknet_leaf_103_clk,43.38µm
clknet_leaf_59_clk,43.26µm
_1422_,43µm
gen_left\[6\]\[16\],42.54µm
_2276_,42.4µm
net40,42.38µm
clknet_leaf_106_clk,42.38µm
net424,42.26µm
_1521_,42.24µm
net420,42.165µm
clknet_leaf_214_clk,42.16µm
clknet_leaf_184_clk,42.14µm
net417,42.1µm
_1456_,42.085µm
_2036_,42.08µm
net136,41.78µm
_2160_,41.54µm
_1625_,41.3µm
clknet_leaf_51_clk,41.18µm
_0475_,41.08µm
clknet_leaf_6_clk,41µm
clknet_leaf_189_clk,40.74µm
clknet_leaf_140_clk,40.48µm
gen_left\[2\]\[21\],40.36µm
_1890_,40.28µm
clknet_leaf_198_clk,40µm
clknet_leaf_18_clk,39.84µm
_0640_,39.82µm
net208,39.78µm
_1444_,39.66µm
_1522_,39.56µm
_1632_,39.545µm
_1489_,39.54µm
clknet_leaf_16_clk,39.54µm
clknet_leaf_28_clk,39.54µm
net107,39.36µm
_1960_,39.24µm
_2037_,39.24µm
_2343_,39.24µm
_2187_,39.22µm
net117,39.1µm
net134,39.1µm
_1905_,39.08µm
_1511_,39.06µm
_2237_,39.06µm
clknet_leaf_47_clk,38.98µm
clknet_leaf_14_clk,38.92µm
clknet_leaf_85_clk,38.86µm
